% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0432143	2	2	1	1.26635e-12	0.499891	0
0.0432143	2	5	2	0.00333333	3.94608e+09	0
0.0432143	3	3	1	1.26643e-12	0.499937	0
0.0432143	3	6	2	0.00333333	3.94603e+09	0
0.0442143	1	1	1	1.26635e-12	0.499891	0
0.0442143	1	4	2	0.00333333	3.94605e+09	0
0.0442143	2	2	1	1.26635e-12	0.499891	0
0.0442143	2	5	2	0.00333333	3.94608e+09	0
0.0442143	3	3	1	1.26643e-12	0.499937	0
0.0442143	3	6	2	0.00333333	3.94604e+09	0
0.0452143	1	1	1	1.26635e-12	0.499891	0
0.0452143	1	4	2	0.00333333	3.94605e+09	0
0.0452143	2	2	1	1.26635e-12	0.499891	0
0.0452143	2	5	2	0.00333333	3.94608e+09	0
0.0452143	3	3	1	1.26643e-12	0.499937	0
0.0452143	3	6	2	0.00333333	3.94604e+09	0
0.0462143	1	1	1	1.26635e-12	0.499891	0
0.0462143	1	4	2	0.00333333	3.94604e+09	0
0.0462143	2	2	1	1.26635e-12	0.499891	0
0.0462143	2	5	2	0.00333333	3.94608e+09	0
0.0462143	3	3	1	1.26643e-12	0.499937	0
0.0462143	3	6	2	0.00333333	3.94604e+09	0
0.0472143	1	1	1	1.26635e-12	0.499891	0
0.0472143	1	4	2	0.00333333	3.94604e+09	0
0.0472143	2	2	1	1.26635e-12	0.499891	0
0.0472143	2	5	2	0.00333333	3.94608e+09	0
0.0472143	3	3	1	1.26643e-12	0.499937	0
0.0472143	3	6	2	0.00333333	3.94604e+09	0
0.0482143	1	1	1	1.26635e-12	0.499891	0
0.0482143	1	4	2	0.00333333	3.94604e+09	0
0.0482143	2	2	1	1.26635e-12	0.499891	0
0.0482143	2	5	2	0.00333333	3.94608e+09	0
0.0482143	3	3	1	1.26643e-12	0.499937	0
0.0482143	3	6	2	0.00333333	3.94604e+09	0
0.0492143	1	1	1	1.26635e-12	0.499891	0
0.0492143	1	4	2	0.00333333	3.94604e+09	0
0.0492143	2	2	1	1.26635e-12	0.499891	0
0.0492143	2	5	2	0.00333333	3.94608e+09	0
0.0492143	3	3	1	1.26643e-12	0.499937	0
0.0492143	3	6	2	0.00333333	3.94605e+09	0
0.0502143	1	1	1	1.26635e-12	0.499891	0
0.0502143	1	4	2	0.00333333	3.94604e+09	0
0.0502143	2	2	1	1.26635e-12	0.499891	0
0.0502143	2	5	2	0.00333333	3.94608e+09	0
0.0502143	3	3	1	1.26643e-12	0.499937	0
0.0502143	3	6	2	0.00333333	3.94605e+09	0
0.0512143	1	1	1	1.26635e-12	0.499891	0
0.0512143	1	4	2	0.00333333	3.94603e+09	0
0.0512143	2	2	1	1.26635e-12	0.499891	0
0.0512143	2	5	2	0.00333333	3.94608e+09	0
0.0512143	3	3	1	1.26643e-12	0.499937	0
0.0512143	3	6	2	0.00333333	3.94605e+09	0
0.0522143	1	1	1	1.26635e-12	0.499891	0
0.0522143	1	4	2	0.00333333	3.94603e+09	0
0.0522143	2	2	1	1.26635e-12	0.499891	0
0.0522143	2	5	2	0.00333333	3.94608e+09	0
0.0522143	3	3	1	1.26643e-12	0.499937	0
0.0522143	3	6	2	0.00333333	3.94605e+09	0
0.0532143	1	1	1	1.26635e-12	0.499891	0
0.0532143	1	4	2	0.00333333	3.94603e+09	0
0.0532143	2	2	1	1.26635e-12	0.499891	0
0.0532143	2	5	2	0.00333333	3.94608e+09	0
0.0532143	3	3	1	1.26643e-12	0.499937	0
0.0532143	3	6	2	0.00333333	3.94605e+09	0
0.0542143	1	1	1	1.26635e-12	0.499891	0
0.0542143	1	4	2	0.00333333	3.94603e+09	0
0.0542143	2	2	1	1.26635e-12	0.499891	0
0.0542143	2	5	2	0.00333333	3.94608e+09	0
0.0542143	3	3	1	1.26643e-12	0.499937	0
0.0542143	3	6	2	0.00333333	3.94606e+09	0
0.0552143	1	1	1	1.26635e-12	0.499891	0
0.0552143	1	4	2	0.00333333	3.94603e+09	0
0.0552143	2	2	1	1.26635e-12	0.499891	0
0.0552143	2	5	2	0.00333333	3.94608e+09	0
0.0552143	3	3	1	1.26643e-12	0.499937	0
0.0552143	3	6	2	0.00333333	3.94606e+09	0
0.0562143	1	1	1	1.26635e-12	0.499891	0
0.0562143	1	4	2	0.00333333	3.94603e+09	0
0.0562143	2	2	1	1.26635e-12	0.499891	0
0.0562143	2	5	2	0.00333333	3.94608e+09	0
0.0562143	3	3	1	1.26643e-12	0.499937	0
0.0562143	3	6	2	0.00333333	3.94606e+09	0
0.0572143	1	1	1	1.26635e-12	0.499891	0
0.0572143	1	4	2	0.00333333	3.94602e+09	0
0.0572143	2	2	1	1.26635e-12	0.499891	0
0.0572143	2	5	2	0.00333333	3.94608e+09	0
0.0572143	3	3	1	1.26643e-12	0.499937	0
0.0572143	3	6	2	0.00333333	3.94606e+09	0
