% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.119	1	1	12	10	1	28	373	0
0.119	1	4	12	10	3	28	373	0
0.119	2	2	12	10	1	28	373	0
0.119	2	5	12	10	3	28	373	0
0.119	3	3	12	10	1	28	373	0
0.119	3	6	12	10	3	28	373	0
0.12	1	1	13	1	1	28	373	0
0.12	1	4	13	1	3	28	373	0
0.12	2	2	13	1	1	28	373	0
0.12	2	5	13	1	3	28	373	0
0.12	3	3	13	1	1	28	373	0
0.12	3	6	13	1	3	28	373	0
0.121	1	1	13	2	1	28	373	0
0.121	1	4	13	2	3	28	373	0
0.121	2	2	13	2	1	28	373	0
0.121	2	5	13	2	3	28	373	0
0.121	3	3	13	2	1	28	373	0
0.121	3	6	13	2	3	28	373	0
0.122	1	1	13	3	1	28	373	0
0.122	1	4	13	3	3	28	373	0
0.122	2	2	13	3	1	28	373	0
0.122	2	5	13	3	3	28	373	0
0.122	3	3	13	3	1	28	373	0
0.122	3	6	13	3	3	28	373	0
0.123	1	1	13	4	1	28	373	0
0.123	1	4	13	4	3	28	373	0
0.123	2	2	13	4	1	28	373	0
0.123	2	5	13	4	3	28	373	0
0.123	3	3	13	4	1	28	373	0
0.123	3	6	13	4	3	28	373	0
0.124	1	1	13	5	1	28	373	0
0.124	1	4	13	5	3	28	373	0
0.124	2	2	13	5	1	28	373	0
0.124	2	5	13	5	3	28	373	0
0.124	3	3	13	5	1	28	373	0
0.124	3	6	13	5	3	28	373	0
0.125	1	1	13	6	1	28	373	0
0.125	1	4	13	6	3	28	373	0
0.125	2	2	13	6	1	28	373	0
0.125	2	5	13	6	3	28	373	0
0.125	3	3	13	6	1	28	373	0
0.125	3	6	13	6	3	28	373	0
0.126	1	1	13	7	1	28	373	0
0.126	1	4	13	7	3	28	373	0
0.126	2	2	13	7	1	28	373	0
0.126	2	5	13	7	3	28	373	0
0.126	3	3	13	7	1	28	373	0
0.126	3	6	13	7	3	28	373	0
0.127	1	1	13	8	1	28	373	0
0.127	1	4	13	8	3	28	373	0
0.127	2	2	13	8	1	28	373	0
0.127	2	5	13	8	3	28	373	0
0.127	3	3	13	8	1	28	373	0
0.127	3	6	13	8	3	28	373	0
0.128	1	1	13	9	1	28	373	0
0.128	1	4	13	9	3	28	373	0
0.128	2	2	13	9	1	28	373	0
0.128	2	5	13	9	3	28	373	0
0.128	3	3	13	9	1	28	373	0
0.128	3	6	13	9	3	28	373	0
0.129	1	1	13	10	1	28	373	0
0.129	1	4	13	10	3	28	373	0
0.129	2	2	13	10	1	28	373	0
0.129	2	5	13	10	3	28	373	0
0.129	3	3	13	10	1	28	373	0
0.129	3	6	13	10	3	28	373	0
0.13	1	1	14	1	1	28	373	0
0.13	1	4	14	1	3	28	373	0
0.13	2	2	14	1	1	28	373	0
0.13	2	5	14	1	3	28	373	0
0.13	3	3	14	1	1	28	373	0
0.13	3	6	14	1	3	28	373	0
0.131	1	1	14	2	1	28	373	0
0.131	1	4	14	2	3	28	373	0
0.131	2	2	14	2	1	28	373	0
0.131	2	5	14	2	3	28	373	0
0.131	3	3	14	2	1	28	373	0
0.131	3	6	14	2	3	28	373	0
0.132	1	1	14	3	1	28	373	0
0.132	1	4	14	3	3	28	373	0
0.132	2	2	14	3	1	28	373	0
0.132	2	5	14	3	3	28	373	0
0.132	3	3	14	3	1	28	373	0
0.132	3	6	14	3	3	28	373	0
0.133	1	1	14	4	1	28	373	0
0.133	1	4	14	4	3	28	373	0
0.133	2	2	14	4	1	28	373	0
0.133	2	5	14	4	3	28	373	0
0.133	3	3	14	4	1	28	373	0
0.133	3	6	14	4	3	28	373	0
0.134	1	1	14	5	1	28	373	0
0.134	1	4	14	5	3	28	373	0
0.134	2	2	14	5	1	28	373	0
0.134	2	5	14	5	3	28	373	0
0.134	3	3	14	5	1	28	373	0
0.134	3	6	14	5	3	28	373	0
0.135	1	1	14	6	1	28	373	0
0.135	1	4	14	6	3	28	373	0
0.135	2	5	14	6	3	28	373	0
0.135	3	3	14	6	1	28	373	0
0.135	3	6	14	6	3	28	373	0
0.136	1	1	14	7	1	28	373	0
0.136	1	4	14	7	3	28	373	0
0.136	2	2	14	7	1	28	373	0
0.136	2	5	14	7	3	28	373	0
0.136	3	3	14	7	1	28	373	0
0.136	3	6	14	7	3	28	373	0
0.137	1	1	14	8	1	28	373	0
0.137	1	4	14	8	3	28	373	0
0.137	2	2	14	8	1	28	373	0
0.137	2	5	14	8	3	28	373	0
0.137	3	3	14	8	1	28	373	0
0.137	3	6	14	8	3	28	373	0
0.138	1	1	14	9	1	28	373	0
0.138	1	4	14	9	3	28	373	0
0.138	2	2	14	9	1	28	373	0
0.138	2	5	14	9	3	28	373	0
0.138	3	3	14	9	1	28	373	0
0.138	3	6	14	9	3	28	373	0
0.139	1	1	14	10	1	28	373	0
0.139	1	4	14	10	3	28	373	0
0.139	2	2	14	10	1	28	373	0
0.139	2	5	14	10	3	28	373	0
0.139	3	3	14	10	1	28	373	0
0.139	3	6	14	10	3	28	373	0
0.14	1	1	15	1	1	28	373	0
0.14	1	4	15	1	3	28	373	0
0.14	2	2	15	1	1	28	373	0
0.14	2	5	15	1	3	28	373	0
0.14	3	3	15	1	1	28	373	0
0.14	3	6	15	1	3	28	373	0
0.141	1	1	15	2	1	28	373	0
0.141	1	4	15	2	3	28	373	0
0.141	2	2	15	2	1	28	373	0
0.141	2	5	15	2	3	28	373	0
0.141	3	3	15	2	1	28	373	0
0.141	3	6	15	2	3	28	373	0
0.142	1	1	15	3	1	28	373	0
0.142	1	4	15	3	3	28	373	0
0.142	2	2	15	3	1	28	373	0
0.142	2	5	15	3	3	28	373	0
0.142	3	3	15	3	1	28	373	0
0.142	3	6	15	3	3	28	373	0
0.143	1	1	15	4	1	28	373	0
0.143	1	4	15	4	3	28	373	0
0.143	2	2	15	4	1	28	373	0
0.143	2	5	15	4	3	28	373	0
0.143	3	3	15	4	1	28	373	0
0.143	3	6	15	4	3	28	373	0
0.144	1	1	15	5	1	28	373	0
0.144	1	4	15	5	3	28	373	0
0.144	2	2	15	5	1	28	373	0
0.144	2	5	15	5	3	28	373	0
0.144	3	3	15	5	1	28	373	0
0.144	3	6	15	5	3	28	373	0
0.145	1	1	15	6	1	28	373	0
0.145	1	4	15	6	3	28	373	0
