% time	cellId	Interference
2.06593	2	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 
2.06593	3	1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
2.06693	1	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 
2.06693	2	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 
2.06693	3	1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
2.06793	1	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
2.06793	2	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
2.06793	3	1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 1.25961e-20 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 2.03383e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
2.06893	1	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 
2.06893	2	1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 1.2596e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 2.03371e-17 1.25893e-20 
